Trainer,Wins,Losses,Ties,Win Percentage
Rival2-Bulbasaur,123,271,0,31.22%
Youngster11,122,271,0,31.04%
Lass17,122,271,0,31.04%
Gambler5,122,272,0,30.96%
Rocket5,121,271,0,30.87%
JrTrainerM7,120,271,0,30.69%
Fisher9,120,274,0,30.46%
Rocket13,120,274,0,30.46%
JrTrainerF8,119,275,0,30.20%
Rocket15,117,276,0,29.77%
Lass13,112,280,0,28.57%
JrTrainerF9,112,282,0,28.43%
Engineer3,111,282,0,28.24%
Lass16,110,283,0,27.99%
JrTrainerF17,110,283,0,27.99%
Youngster10,108,285,0,27.48%
JrTrainerF10,108,285,0,27.48%
JrTrainerF7,107,285,0,27.30%
Sailor8,105,287,0,26.79%
Rival2-Charmander,105,289,0,26.65%
Rocket10,105,289,0,26.65%
JrTrainerF5,104,290,0,26.40%
Rocket12,104,290,0,26.40%
BugCatcher11,102,290,0,26.02%
SuperNerd3,102,292,0,25.89%
SuperNerd7,102,292,0,25.89%
Hiker9,102,251,0,28.90%
Gentleman3,100,291,0,25.58%
JrTrainerM6,99,294,0,25.19%
Youngster6,95,296,0,24.30%
Rocket4,95,295,0,24.36%
SuperNerd5,93,298,0,23.79%
Rival2-Squirtle,93,301,0,23.60%
Fisher2,92,302,0,23.35%
Youngster12,91,301,0,23.21%
Lass12,89,303,0,22.70%
Gentleman1,89,303,0,22.70%
Sailor5,87,306,0,22.14%
Rocket18,87,306,0,22.14%
Gentleman5,87,305,0,22.19%
Gambler4,86,306,0,21.94%
Youngster5,84,307,0,21.48%
Sailor7,83,308,0,21.23%
JrTrainerF4,83,307,0,21.28%
JrTrainerF6,83,307,0,21.28%
Fisher1,83,310,0,21.12%
Hiker3,79,315,0,20.05%
BugCatcher13,77,315,0,19.64%
Sailor1,77,316,0,19.59%
Hiker2,77,317,0,19.54%
Sailor4,76,317,0,19.34%
Gambler2,75,316,0,19.18%
Sailor6,74,320,0,18.78%
Rocker1,74,319,0,18.83%
SuperNerd8,73,313,0,18.91%
Hiker4,72,322,0,18.27%
BugCatcher14,69,324,0,17.56%
JrTrainerF2,69,323,0,17.60%
Youngster9,67,324,0,17.14%
Sailor2,67,325,0,17.09%
Gentleman2,67,325,0,17.09%
Youngster8,66,326,0,16.84%
JrTrainerF3,65,328,0,16.54%
Sailor3,64,327,0,16.37%
Engineer1,62,331,0,15.78%
Gambler1,62,331,0,15.78%
Rocker2,57,328,0,14.81%
Brock,57,337,0,14.47%
Youngster4,55,338,0,13.99%
Lass11,55,338,0,13.99%
JrTrainerM3,55,336,0,14.07%
Swimmer1,54,338,0,13.78%
Lass10,53,340,0,13.49%
JrTrainerF1,53,339,0,13.52%
Youngster2,52,340,0,13.27%
Fisher11,52,340,0,13.27%
JrTrainerM4,51,341,0,13.01%
Hiker1,51,343,0,12.94%
JrTrainerM2,45,347,0,11.48%
Rocket6,45,347,0,11.48%
Hiker14,45,293,0,13.31%
Gambler3,43,349,0,10.97%
Lass7,42,349,0,10.74%
Lass9,41,351,0,10.46%
BugCatcher12,40,354,0,10.15%
